source_row	year	doi	title	why	status	epmc_pmcid	epmc_is_open_access	epmc_in_epmc	epmc_source_url	crossref_title	crossref_cc_license_url	crossref_license_version	crossref_fulltext_url	crossref_fulltext_content_type	notes	audit_schema
12	2026	10.1080/07388551.2026.2618192	Advances in primary cell isolation, sorting, and preservation from livestock for cultured meat applications	Reviews cell isolation and expansion for cultured meat	metadata_only_license_unverified		N	N		Advances in primary cell isolation, sorting, and preservation from livestock for cultured meat applications			https://www.tandfonline.com/doi/pdf/10.1080/07388551.2026.2618192	unspecified		zotero-oa-audit-v1
13	2026	10.1016/j.jbiosc.2026.02.004	Fetal bovine serum concentration-dependent differentiation of multi-layered myoblasts	Serum concentration for differentiation	metadata_only_license_unverified		N	N		Fetal bovine serum concentration-dependent differentiation of multi-layered myoblasts			https://api.elsevier.com/content/article/PII:S1389172326000642?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
14	2026	10.1016/j.foodres.2026.118616	Machine learning framework for passage-based quality control of Hanwoo muscle satellite cells for cultured meat	Proliferation quality control of muscle satellite cells	metadata_only_license_unverified		N	N		Machine learning framework for passage-based quality control of Hanwoo muscle satellite cells for cultured meat			https://api.elsevier.com/content/article/PII:S0963996926002929?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
15	2026	10.3390/foods15071203	Development of a Cost-Effective and Food-Grade Medium for Rice Cellular Agriculture	Food-grade medium for plant cells	epmc_jats_candidate	PMC13072780	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13072780/fullTextXML	Development of a Cost-Effective and Food-Grade Medium for Rice Cellular Agriculture	https://creativecommons.org/licenses/by/4.0/	vor	https://www.mdpi.com/2304-8158/15/7/1203/pdf	unspecified		zotero-oa-audit-v1
16	2026	10.1007/s44463-025-00003-2	Review of culture media and serum substitutes containing phytoecdysteroids for application in cultured meat technology	phytoecdysteroids as serum substitute	epmc_jats_candidate	PMC12977311	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12977311/fullTextXML	Review of culture media and serum substitutes containing phytoecdysteroids for application in cultured meat technology	https://creativecommons.org/licenses/by-nc-nd/4.0	vor	https://link.springer.com/content/pdf/10.1007/s44463-025-00003-2.pdf	application/pdf		zotero-oa-audit-v1
17	2026	10.1080/10408398.2026.2645261	Serum-free media for cultivated meat: from cellular mechanisms to cost-effective bioprocess design	Serum-free media for cultivated meat	metadata_only_license_unverified		N	N		Serum-free media for cultivated meat: from cellular mechanisms to cost-effective bioprocess design			https://www.tandfonline.com/doi/pdf/10.1080/10408398.2026.2645261	unspecified		zotero-oa-audit-v1
18	2026	10.1007/s10068-025-02073-w	Aloe vera-derived nanovesicles mitigate senescence and restore myogenesis in bovine satellite cells for cultured meat applications	Nanovesicles mitigate senescence, restore myogenesis	metadata_only_license_unverified		N	N		Aloe vera-derived nanovesicles mitigate senescence and restore myogenesis in bovine satellite cells for cultured meat applications			https://link.springer.com/content/pdf/10.1007/s10068-025-02073-w.pdf	application/pdf		zotero-oa-audit-v1
19	2026	10.1007/s44463-025-00034-9	Enhancing cultured meat production with ginseng leaf-stem extract: a novel supplementation approach to promote porcine muscle stem cell growth	Ginseng extract promotes porcine MuSC growth	epmc_jats_candidate	PMC12994945	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12994945/fullTextXML	Enhancing cultured meat production with ginseng leaf-stem extract: a novel supplementation approach to promote porcine muscle stem cell growth	https://creativecommons.org/licenses/by-nc-nd/4.0	vor	https://link.springer.com/content/pdf/10.1007/s44463-025-00034-9.pdf	application/pdf		zotero-oa-audit-v1
20	2026	10.1016/j.foodres.2025.117879	Seeding density-dependent fate divergence of muscle stem cells revealed by single-cell RNA sequencing for cultured pork production	MuSC proliferation, seeding density for cultured pork	metadata_only_license_unverified		N	N		Seeding density-dependent fate divergence of muscle stem cells revealed by single-cell RNA sequencing for cultured pork production			https://api.elsevier.com/content/article/PII:S0963996925022173?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
21	2026	10.1007/s44463-025-00035-8	Utilization of animal by-products as sources of bioactive compounds and FBS alternatives for cultured meat: a comprehensive review	FBS alternatives for cultured meat medium	crossref_cc_vor_candidate		N	N		Utilization of animal by-products as sources of bioactive compounds and FBS alternatives for cultured meat: a comprehensive review	https://creativecommons.org/licenses/by/4.0	vor	https://link.springer.com/content/pdf/10.1007/s44463-025-00035-8.pdf	application/pdf		zotero-oa-audit-v1
22	2026	10.1038/s41598-026-38603-7	Bladder organoid conditioned media enhances myoblast proliferation under serum free conditions	Conditioned media for myoblast proliferation	epmc_jats_candidate	PMC12936071	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12936071/fullTextXML	Bladder organoid conditioned media enhances myoblast proliferation under serum free conditions	https://creativecommons.org/licenses/by-nc-nd/4.0	vor	https://www.nature.com/articles/s41598-026-38603-7.pdf	application/pdf		zotero-oa-audit-v1
23	2026	10.1016/j.bioadv.2025.214701	Functional replacement of fetal bovine serum by extracts from Galdieria sulphuraria in muscle cell culture	Serum-free medium using algal extract for myoblast expansion	crossref_cc_vor_candidate		N	N		Functional replacement of fetal bovine serum by extracts from Galdieria sulphuraria in muscle cell culture	http://creativecommons.org/licenses/by/4.0/	vor	https://api.elsevier.com/content/article/PII:S277295082500528X?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
24	2026	10.1016/j.diff.2026.100934	Development and proteome characterization of a new muscle cell line from Oreochromis niloticus (Linnaeus, 1758)	Muscle cell line, serum, bFGF medium	metadata_only_license_unverified		N	N		Development and proteome characterization of a new muscle cell line from Oreochromis niloticus (Linnaeus, 1758)			https://api.elsevier.com/content/article/PII:S0301468126000046?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
25	2026	10.1007/s44463-025-00044-7	Effect of whey protein hydrolysate isolation as a partial replacement of fetal bovine serum on proliferation and differentiation of Hanwoo primary muscle cells	WPH replaces FBS for muscle cells	crossref_cc_vor_candidate		N	N		Effect of whey protein hydrolysate isolation as a partial replacement of fetal bovine serum on proliferation and differentiation of Hanwoo primary muscle cells	https://creativecommons.org/licenses/by/4.0	vor	https://link.springer.com/content/pdf/10.1007/s44463-025-00044-7.pdf	application/pdf		zotero-oa-audit-v1
26	2026	10.1038/s41538-026-00732-8	A small molecule strategy with forskolin and p38 inhibitor for serum-free muscle stem cell expansion	Serum-free muscle stem cell expansion	epmc_jats_candidate	PMC12966326	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12966326/fullTextXML	A small molecule strategy with forskolin and p38 inhibitor for serum-free muscle stem cell expansion	https://creativecommons.org/licenses/by/4.0	vor	https://www.nature.com/articles/s41538-026-00732-8	text/html		zotero-oa-audit-v1
27	2026	10.34133/bmr.0332	Chicken Embryo Extract Remodeling of Extracellular Matrix Sustains Self-Renewal and Differentiation for Scaffold-Free Cell Sheet Formation	Chicken embryo extract replaces FBS for satellite cells	epmc_jats_candidate	PMC12953922	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12953922/fullTextXML	Chicken Embryo Extract Remodeling of Extracellular Matrix Sustains Self-Renewal and Differentiation for Scaffold-Free Cell Sheet Formation			https://spj.science.org/doi/pdf/10.34133/bmr.0332	unspecified		zotero-oa-audit-v1
28	2026	10.1007/s44463-026-00062-z	Refined production of egg-derived media additives enhances proliferation and differentiation of skeletal muscle satellite cell culture	Egg-derived FBS substitute for satellite cells	epmc_jats_candidate	PMC13000065	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13000065/fullTextXML	Refined production of egg-derived media additives enhances proliferation and differentiation of skeletal muscle satellite cell culture	https://creativecommons.org/licenses/by/4.0	vor	https://link.springer.com/content/pdf/10.1007/s44463-026-00062-z.pdf	application/pdf		zotero-oa-audit-v1
29	2026	10.1016/j.ifset.2026.104518	Food-grade fungal pellets as edible scaffolds for bovine stem cell expansion	edible scaffolds for stem cell expansion	crossref_cc_vor_candidate					Food-grade fungal pellets as edible scaffolds for bovine stem cell expansion	http://creativecommons.org/licenses/by/4.0/	vor	https://api.elsevier.com/content/article/PII:S146685642600086X?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
30	2025	10.1016/j.seppur.2025.132415	Layered sodium zirconium phosphate adsorbent for ammonia removal in cell culture media for cultivated meat application	Ammonia removal in culture media	metadata_only_license_unverified					Layered sodium zirconium phosphate adsorbent for ammonia removal in cell culture media for cultivated meat application			https://api.elsevier.com/content/article/PII:S1383586625010123?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
31	2025	10.1016/j.copbio.2025.103313	Genome-scale metabolic models in cultivated meat: advances, challenges, and future directions	Reviews serum-free media optimization for cultivated meat	crossref_cc_vor_candidate		N	N		Genome-scale metabolic models in cultivated meat: advances, challenges, and future directions	http://creativecommons.org/licenses/by-nc/4.0/	vor	https://api.elsevier.com/content/article/PII:S0958166925000576?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
32	2025	10.3389/fbioe.2025.1617115	Development and optimization of an ammonia removal strategy for sustainable recycling of cell culture spent media in cultivated meat production: from concept to implementation	Spent media recycling for cell growth	epmc_jats_candidate	PMC12364936	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12364936/fullTextXML	Development and optimization of an ammonia removal strategy for sustainable recycling of cell culture spent media in cultivated meat production: from concept to implementation	https://creativecommons.org/licenses/by/4.0/	vor	https://www.frontiersin.org/articles/10.3389/fbioe.2025.1617115/full	unspecified		zotero-oa-audit-v1
33	2025	10.1016/j.fufo.2025.100618	Production of cultivated meat with stably proliferated porcine muscle stem cells and edible scaffolds	VPA promotes MuSC proliferation medium	crossref_cc_vor_candidate					Production of cultivated meat with stably proliferated porcine muscle stem cells and edible scaffolds	http://creativecommons.org/licenses/by-nc/4.0/	vor	https://api.elsevier.com/content/article/PII:S2666833525000814?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
34	2025	10.1016/j.cej.2025.164496	Sustainable food-grade serum-reducing biomaterial: Plant protein hydrolysates for scalable cultivated meat manufacturing	Plant hydrolysates as serum reducers	crossref_cc_vor_candidate					Sustainable food-grade serum-reducing biomaterial: Plant protein hydrolysates for scalable cultivated meat manufacturing	http://creativecommons.org/licenses/by-nc-nd/4.0/	vor	https://api.elsevier.com/content/article/PII:S138589472505332X?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
35	2025	10.1186/s12934-025-02670-8	Enhancing recombinant growth factor and serum protein production for cultivated meat manufacturing	Recombinant growth factors production	epmc_jats_candidate	PMC11831813	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11831813/fullTextXML	Enhancing recombinant growth factor and serum protein production for cultivated meat manufacturing	https://creativecommons.org/licenses/by-nc-nd/4.0	vor	https://link.springer.com/content/pdf/10.1186/s12934-025-02670-8.pdf	application/pdf		zotero-oa-audit-v1
36	2025	10.5851/kosfa.2025.e17	Citrus sunki Peel Extract Enhances Proliferation and Differentiation of Fibro-Adipocyte Progenitors in Holstein Cattle for Cultivated Meat Production	Citrus extract enhances FAP proliferation	epmc_jats_candidate	PMC12965362	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12965362/fullTextXML	"Citrus sunki Peel Extract Enhances Proliferation and
                    Differentiation of Fibro-Adipocyte Progenitors in Holstein Cattle for Cultivated
                    Meat Production"	http://creativecommons.org/licenses/by-nc/3.0	unspecified	http://www.kosfaj.org/download/download_pdf?doi=10.5851/kosfa.2025.e17	application/pdf		zotero-oa-audit-v1
37	2025	10.3390/foods14244348	Development of a Cost-Effective, Heme-Tolerant Bovine Muscle Cell for Cultivated Meat Production	Heme-tolerant muscle cell, medium development	epmc_jats_candidate	PMC12732882	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12732882/fullTextXML	Development of a Cost-Effective, Heme-Tolerant Bovine Muscle Cell for Cultivated Meat Production	https://creativecommons.org/licenses/by/4.0/	vor	https://www.mdpi.com/2304-8158/14/24/4348/pdf	unspecified		zotero-oa-audit-v1
38	2025	10.1016/j.tifs.2025.105178	Towards affordable cultivated meat: The potential of plant protein hydrolysates	Plant protein hydrolysates as serum replacement	crossref_cc_vor_candidate					Towards affordable cultivated meat: The potential of plant protein hydrolysates	http://creativecommons.org/licenses/by-nc-nd/4.0/	vor	https://api.elsevier.com/content/article/PII:S0924224425003140?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
39	2025	10.1007/s43393-025-00358-z	Valorisation of spent cultivated meat media for recombinant FGF2 production in Lactococcus lactis	Spent media valorization for growth factors	metadata_only_license_unverified					Valorisation of spent cultivated meat media for recombinant FGF2 production in Lactococcus lactis			https://link.springer.com/content/pdf/10.1007/s43393-025-00358-z.pdf	application/pdf		zotero-oa-audit-v1
40	2025	10.1016/j.fbio.2025.106218	Milk-derived extract for skeletal muscle cell cultivation	Milk-derived extract for muscle cell culture	crossref_cc_vor_candidate					Milk-derived extract for skeletal muscle cell cultivation	http://creativecommons.org/licenses/by-nc/4.0/	vor	https://api.elsevier.com/content/article/PII:S2212429225003943?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
41	2025	10.3389/fbioe.2025.1560426	Functional expression and secretion of basic fibroblast growth factor in Lactococcus lactis	Recombinant FGF2 for serum-free media	epmc_jats_candidate	PMC12328364	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12328364/fullTextXML	Functional expression and secretion of basic fibroblast growth factor in Lactococcus lactis	https://creativecommons.org/licenses/by/4.0/	vor	https://www.frontiersin.org/articles/10.3389/fbioe.2025.1560426/full	unspecified		zotero-oa-audit-v1
42	2025	10.1038/s41598-025-27508-6	Multi-response optimization of defined and undefined serum-free media for enhanced proliferation of immortalized lamb muscle cells	Serum-free media optimization for muscle cells	epmc_jats_candidate	PMC12698806	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12698806/fullTextXML	Multi-response optimization of defined and undefined serum-free media for enhanced proliferation of immortalized lamb muscle cells	https://creativecommons.org/licenses/by-nc-nd/4.0	vor	https://www.nature.com/articles/s41598-025-27508-6.pdf	application/pdf		zotero-oa-audit-v1
43	2025	10.1038/s41598-025-28441-4	Development of a sustainable strategy for cultured fat production based on serum-free 3D culture of bovine adipose stem cells	Serum-free medium for adipose stem cells	epmc_jats_candidate	PMC12749105	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12749105/fullTextXML	Development of a sustainable strategy for cultured fat production based on serum-free 3D culture of bovine adipose stem cells	https://creativecommons.org/licenses/by/4.0	vor	https://www.nature.com/articles/s41598-025-28441-4.pdf	application/pdf		zotero-oa-audit-v1
44	2025	10.1016/j.fufo.2025.100582	Applications of recombinant proteins in cultured meat production	Focuses on serum-free media and recombinant proteins for cul	crossref_cc_vor_candidate					Applications of recombinant proteins in cultured meat production	http://creativecommons.org/licenses/by-nc-nd/4.0/	vor	https://api.elsevier.com/content/article/PII:S2666833525000450?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
45	2025	10.1016/j.foodres.2025.116670	Sustainable media development for cultured meat: Technology and material reviews	Reviews sustainable media components	metadata_only_license_unverified		N	N		Sustainable media development for cultured meat: Technology and material reviews			https://api.elsevier.com/content/article/PII:S0963996925010087?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
46	2025	10.1016/j.fufo.2025.100639	Food safety considerations in the advancement of cultured meat: Evaluating novel ingredients	Evaluates serum alternatives for safety	crossref_cc_vor_candidate					Food safety considerations in the advancement of cultured meat: Evaluating novel ingredients	http://creativecommons.org/licenses/by-nc-nd/4.0/	vor	https://api.elsevier.com/content/article/PII:S2666833525001017?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
47	2025	10.1016/j.cofs.2024.101243	Gaps and solutions for large scale production of cultured meat: a review on last findings	Reviews medium components and serum replacement	metadata_only_license_unverified					Gaps and solutions for large scale production of cultured meat: a review on last findings			https://api.elsevier.com/content/article/PII:S2214799324001218?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
48	2025	10.1016/j.bbrep.2025.102167	Discovery and optimization of a guanylhydrazone-based small molecule to replace bFGF for cell culture applications	bFGF replacement for cell proliferation	epmc_jats_candidate	PMC12305320	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12305320/fullTextXML	Discovery and optimization of a guanylhydrazone-based small molecule to replace bFGF for cell culture applications	http://creativecommons.org/licenses/by-nc-nd/4.0/	vor	https://api.elsevier.com/content/article/PII:S2405580825002547?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
49	2025	10.1016/j.jafr.2025.101718	Approach to enhancing myoblast cell proliferation through plasma jet stimulation for the design of lab-grown meat	Plasma jet for myoblast proliferation	crossref_cc_vor_candidate					Approach to enhancing myoblast cell proliferation through plasma jet stimulation for the design of lab-grown meat	http://creativecommons.org/licenses/by-nc-nd/4.0/	vor	https://api.elsevier.com/content/article/PII:S2666154325000894?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
50	2025	10.1016/j.fbio.2025.107286	The current scenario in cultured meat production and the challenges for industrialization	Reviews growth factors and medium for muscle stem cells	metadata_only_license_unverified					The current scenario in cultured meat production and the challenges for industrialization			https://api.elsevier.com/content/article/PII:S2212429225014634?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
51	2025	10.1038/s41538-025-00605-6	Chick embryo extract-driven culture system enhances chicken muscle satellite cell differentiation and 3D myotube formation	CEE for chicken satellite cell culture	epmc_jats_candidate	PMC12635065	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12635065/fullTextXML	Chick embryo extract-driven culture system enhances chicken muscle satellite cell differentiation and 3D myotube formation	https://creativecommons.org/licenses/by-nc-nd/4.0	vor	https://www.nature.com/articles/s41538-025-00605-6.pdf	application/pdf		zotero-oa-audit-v1
52	2025	10.1007/10_2025_312	Development of Cell Culture Media for Cultivated Meat Production	Directly about cell culture medium	metadata_only_license_unverified		N	N		Development of Cell Culture Media for Cultivated Meat Production			https://link.springer.com/content/pdf/10.1007/10_2025_312	unspecified		zotero-oa-audit-v1
53	2025	10.5187/jast.2024.e98	Drone pupae extract enhances Hanwoo myosatellite cell function for cultivated meat production	Drone pupae extract as medium additive	epmc_jats_candidate	PMC11833203	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11833203/fullTextXML	"Drone pupae extract enhances Hanwoo myosatellite cell function for
                    cultivated meat production"	http://creativecommons.org/licenses/by-nc/4.0	tdm	http://www.ejast.org/download/download_pdf?doi=10.5187/jast.2024.e98	application/pdf		zotero-oa-audit-v1
54	2025	10.1038/s42003-025-08760-y	Pooled CRISPR screens identifies key regulators of bovine stem cell expansion for cultured meat	CRISPR screen for stem cell expansion	epmc_jats_candidate	PMC12398484	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12398484/fullTextXML	Pooled CRISPR screens identifies key regulators of bovine stem cell expansion for cultured meat	https://creativecommons.org/licenses/by-nc-nd/4.0	vor	https://www.nature.com/articles/s42003-025-08760-y.pdf	application/pdf		zotero-oa-audit-v1
55	2025	10.3168/jds.2024-25449	Milk whey as a sustainable alternative growth supplement to fetal bovine serum in muscle cell culture	milk whey as FBS replacement	crossref_cc_vor_candidate		N	N		Milk whey as a sustainable alternative growth supplement to fetal bovine serum in muscle cell culture	http://creativecommons.org/licenses/by/4.0/	vor	https://api.elsevier.com/content/article/PII:S0022030225000888?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
56	2025	10.1016/j.bbrc.2025.151456	Notch signaling modulation enhances porcine muscle stem cell proliferation and differentiation	Notch signaling enhances porcine muscle stem cell proliferat	metadata_only_license_unverified		N	N		Notch signaling modulation enhances porcine muscle stem cell proliferation and differentiation			https://api.elsevier.com/content/article/PII:S0006291X25001706?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
57	2025	10.3390/ijms26010345	The Effects of Laxogenin and 5-Alpha-hydroxy-laxogenin on Myotube Formation and Maturation During Cultured Meat Production	Laxogenin effects on myotube formation in cultured meat	epmc_jats_candidate	PMC11720223	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11720223/fullTextXML	The Effects of Laxogenin and 5-Alpha-hydroxy-laxogenin on Myotube Formation and Maturation During Cultured Meat Production	https://creativecommons.org/licenses/by/4.0/	vor	https://www.mdpi.com/1422-0067/26/1/345/pdf	unspecified		zotero-oa-audit-v1
58	2025	10.1021/acs.jafc.4c09215	Recombinant Porcine FGF1 Promotes Muscle Stem Cell Proliferation and Mitochondrial Function for Cultured Meat Production	Recombinant FGF1 for MuSC proliferation	metadata_only_license_unverified		N	N		Recombinant Porcine FGF1 Promotes Muscle Stem Cell Proliferation and Mitochondrial Function for Cultured Meat Production			https://pubs.acs.org/doi/pdf/10.1021/acs.jafc.4c09215	application/pdf		zotero-oa-audit-v1
59	2025	10.3389/fnut.2025.1679490	Yeast-derived low-purity FGF2 supports bovine ESC and MSC aggregates in suspension	yeast-derived FGF2 for media cost	epmc_jats_candidate	PMC12699982	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12699982/fullTextXML	Yeast-derived low-purity FGF2 supports bovine ESC and MSC aggregates in suspension	https://creativecommons.org/licenses/by/4.0/	vor	https://www.frontiersin.org/articles/10.3389/fnut.2025.1679490/full	unspecified		zotero-oa-audit-v1
60	2025	10.3389/fnut.2025.1602010	Low concentration press cake protein isolates preserve biological activity during lyophilization and spray drying	Serum albumin replacement for media	epmc_jats_candidate	PMC12213404	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12213404/fullTextXML	Low concentration press cake protein isolates preserve biological activity during lyophilization and spray drying	https://creativecommons.org/licenses/by/4.0/	vor	https://www.frontiersin.org/articles/10.3389/fnut.2025.1602010/full	unspecified		zotero-oa-audit-v1
61	2025	10.1186/s40643-025-00938-w	Dairy byproducts as sustainable alternatives to FCS in 2D and 3D skeletal muscle cell cultures	Dairy byproducts replace FCS	epmc_jats_candidate	PMC12454707	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12454707/fullTextXML	Dairy byproducts as sustainable alternatives to FCS in 2D and 3D skeletal muscle cell cultures	https://creativecommons.org/licenses/by/4.0	vor	https://link.springer.com/content/pdf/10.1186/s40643-025-00938-w.pdf	application/pdf		zotero-oa-audit-v1
62	2025	10.3389/fceng.2025.1637075	Cell manufacturing for cell-based tissue engineering: a focus on vascularized, skeletal muscle regeneration	Cell expansion with defined cues	epmc_jats_candidate	PMC13008308	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13008308/fullTextXML	Cell manufacturing for cell-based tissue engineering: a focus on vascularized, skeletal muscle regeneration	https://creativecommons.org/licenses/by/4.0/	vor	https://www.frontiersin.org/articles/10.3389/fceng.2025.1637075/full	unspecified		zotero-oa-audit-v1
