relevance	has_pdf	year	doi	title	why	model	run_id
yes	no	2021	10.1016/j.biomaterials.2021.121155	Gelatin MAGIC powder as nutrient-delivering 3D spacer for growing cell sheets into cost-effective cultured meat	gelatin microspheres as medium component	deepseek-chat	20260715T011514
yes	yes	2021	10.1021/acsami.1c07385	Chitosan/Cellulose-Based Porous Nanofilm Delivering C-Phycocyanin: A Novel Platform for the Production of Cost-Effective Cultured Meat	C-phycocyanin as serum substitute	deepseek-chat	20260715T011514
yes	no	2024	10.1038/s42003-024-07400-1	A spontaneously immortalized muscle stem cell line (EfMS) from brown-marbled grouper for cell-cultured fish meat production	Muscle stem cell line, taurine substitute	deepseek-chat	20260715T011514
yes	no	2023	10.1039/d3fo00445g	Production of mature myotubes in vitro improves the texture and protein quality of cultured pork	Serum-free medium for satellite cells	deepseek-chat	20260715T011514
yes	yes	2023	10.1038/s41467-023-44001-8	Generation of three-dimensional meat-like tissue from stable pig epiblast stem cells	Serum-free myogenic differentiation from stem cells	deepseek-chat	20260715T011514
yes	no	2024	10.1111/1750-3841.16884	Development of a serum-free medium for myoblasts long-term expansion and 3D culture for cell-based meat	Serum-free medium for myoblast expansion	deepseek-chat	20260715T011514
yes	no	2026	10.1016/j.foodhyd.2025.111758	Scalable production of cell-based fish meat constructs using 3D porous gelatin microcarriers and seven-band grouper (Epinephelus septemfasciatus) muscle satellite cells	Expansion medium for fish satellite cells	deepseek-chat	20260715T011514
yes	no	2026	10.3390/foods15020352	Valorization of Hemp, Shrimp and Blue Crab Co-Products as Novel Culture Media Ingredients to Improve Protein Quality and Antioxidant Capacity of Cultured Meat in Cell-Based Food Applications	Hydrolysates as serum-free medium supplements	deepseek-chat	20260715T011514
yes	no	2024	10.1016/j.crfs.2024.100879	Effect of glucose and lysine supplementation on myogenic and adipogenic gene expression in muscle satellite cells isolated from Hanwoo with different genotypes of PLAG1: Implications for cell-based fo	Glucose/lysine effects on satellite cells	deepseek-chat	20260715T011514
yes	no	2025	10.1016/j.bbrep.2025.102167	Discovery and optimization of a guanylhydrazone-based small molecule to replace bFGF for cell culture applications	bFGF replacement for cell proliferation	deepseek-chat	20260715T011514
yes	yes	2024	10.3390/bios14010024	Discovery of Novel Stimulators of Pax7 and/or MyoD: Enhancing the Efficacy of Cultured Meat Production through Culture Media Enrichment	Stimulators of Pax7/MyoD for SC proliferation	deepseek-chat	20260715T011514
yes	no	2015	10.1016/s2095-3119(14)60882-0	Artificial meat? Feasible approach based on the experience from cell culture studies	Reviews growth factors for muscle cell propagation	deepseek-chat	20260715T011514
yes	no	2021	10.1111/1541-4337.12661	Muscle stem cell isolation and in vitro culture for meat production: A methodological review	Focuses on muscle stem cell culture for meat	deepseek-chat	20260715T011514
yes	yes	2019	10.1017/s1751731119001897	Review: Analysis of the process and drivers for cellular meat production	Reviews serum-free medium for cell proliferation	deepseek-chat	20260715T011514
yes	no	2023	10.1021/acssuschemeng.3c02972	Cost-Effective Culture Medium for Cell-Based Future Foods	Cost-effective medium for myoblasts	deepseek-chat	20260715T011514
yes	yes	2023	10.1002/elsc.202300005	Multi-objective Bayesian algorithm automatically discovers low-cost high-growth serum-free media for cellular agriculture application	Serum-free media optimization for growth	deepseek-chat	20260715T011514
yes	yes	2022	10.1002/bit.28132	Multi-information source Bayesian optimization of culture media for cellular agriculture	Bayesian optimization of culture media	deepseek-chat	20260715T011514
yes	no	2024	10.1016/j.foodchem.2024.140621	Plant-based hydrolysates as building blocks for cellular agriculture	Hydrolysates for myoblast expansion medium	deepseek-chat	20260715T011514
yes	no	2023	10.1016/j.xpro.2023.102351	Protein expression and purification of bioactive growth factors for use in cell culture and cellular agriculture	Growth factor production for serum-free media	deepseek-chat	20260715T011514
yes	yes	2023	10.3390/foods12071384	Effect of Serum and Oxygen on the In Vitro Culture of Hanwoo Korean Native Cattle-Derived Skeletal Myogenic Cells Used in Cellular Agriculture	Serum and oxygen effects on myogenic cells	deepseek-chat	20260715T011514
yes	no	2025	10.1016/j.jafr.2025.101718	Approach to enhancing myoblast cell proliferation through plasma jet stimulation for the design of lab-grown meat	Plasma jet for myoblast proliferation	deepseek-chat	20260715T011514
yes	no	2025	10.1016/j.fbio.2025.107286	The current scenario in cultured meat production and the challenges for industrialization	Reviews growth factors and medium for muscle stem cells	deepseek-chat	20260715T011514
yes	yes	2025	10.1007/s43393-024-00280-w	Recycling spent animal cell culture media using the thermally resistant microalga Chlorella sorokiniana	Recycling spent medium for myoblasts	deepseek-chat	20260715T011514
yes	yes	2020	10.5851/kosfa.2020.e39	Optimization of Culture Conditions for Maintaining Pig Muscle Stem Cells In Vitro	Optimizes culture conditions for pig muscle stem cells	deepseek-chat	20260715T011514
yes	yes	2024	10.1021/acsbiomaterials.3c01625	Generation of Chicken Contractile Skeletal Muscle Structure Using Decellularized Plant Scaffolds	FBS-free medium for chicken myoblasts	deepseek-chat	20260715T011514
yes	no	2025	10.1016/j.foodres.2025.117016	Serum-free media for cultured meat: insights into protein hydrolysates as proliferation enhancers	Serum-free media, hydrolysates review	deepseek-chat	20260715T011514
yes	no	2025	10.1038/s41538-025-00605-6	Chick embryo extract-driven culture system enhances chicken muscle satellite cell differentiation and 3D myotube formation	CEE for chicken satellite cell culture	deepseek-chat	20260715T011514
yes	yes	2023	10.1038/s41538-023-00194-2	Tissue-like cultured fish fillets through a synthetic food pipeline	medium supports piscine satellite cell proliferation	deepseek-chat	20260715T011514
yes	no	2015	10.1016/j.yexcr.2015.07.021	Elastic hydrogel substrate supports robust expansion of murine myoblasts and enhances their engraftment	hydrogel substrate for myoblast expansion	deepseek-chat	20260715T011514
yes	no	2025	10.1007/10_2025_312	Development of Cell Culture Media for Cultivated Meat Production	Directly about cell culture medium	deepseek-chat	20260715T011514
yes	no	2025	10.5187/jast.2024.e98	Drone pupae extract enhances Hanwoo myosatellite cell function for cultivated meat production	Drone pupae extract as medium additive	deepseek-chat	20260715T011514
yes	no	2026	10.1038/s41538-026-00706-w	Optimizing muscle satellite cell sources for cultured meat: anatomical origin influences cellular properties and quality attributes	Optimizes satellite cell source for proliferation	deepseek-chat	20260715T011514
yes	no	2023	10.1038/s43016-023-00692-2	Author Correction: Spontaneous immortalization of chicken fibroblasts generates stable, high-yield cell lines for serum-free production of cultured meat	Serum-free cell line for cultured meat	deepseek-chat	20260715T011514
yes	no	2022	10.1038/s43016-021-00419-1	A serum-free media formulation for cultured meat production supports bovine satellite cell differentiation in the absence of serum starvation	Serum-free media for satellite cell differentiation	deepseek-chat	20260715T011514
yes	no	2022	10.1038/s43016-021-00437-z	Recipes for cultured meat	Serum-free media for myocytes	deepseek-chat	20260715T011514
yes	no	2025	10.1038/s42003-025-08760-y	Pooled CRISPR screens identifies key regulators of bovine stem cell expansion for cultured meat	CRISPR screen for stem cell expansion	deepseek-chat	20260715T011514
yes	no	2024	10.1038/s41598-024-70377-8	A serum-free culture medium production system by co-culture combining growth factor-secreting cells and l-lactate-assimilating cyanobacteria for sustainable cultured meat production	Serum-free medium with growth factor secretion	deepseek-chat	20260715T011514
yes	no	2023	10.1038/s41598-023-40800-7	Investigating proliferation and differentiation capacities of Hanwoo steer myosatellite cells at different passages for developing cell-cultured meat	Proliferation of myosatellite cells, passage effects	deepseek-chat	20260715T011514
yes	no	2023	10.1101/2023.04.17.537163	Engineered autocrine signaling eliminates muscle cell FGF2 requirements for cultured meat production	Engineered autocrine eliminates FGF2 need	deepseek-chat	20260715T011514
yes	no	2023	10.1016/j.jmb.2023.168191	Stable Mammalian Serum Albumins Designed for Bacterial Expression	Serum albumin for cultivated meat	deepseek-chat	20260715T011514
yes	no	2023	10.3389/fbioe.2023.1202165	Non-ammoniagenic proliferation and differentiation media for cultivated adipose tissue	Serum-free media for fat cells	deepseek-chat	20260715T011514
yes	no	2024	10.3390/foods13233741	Screening Algal and Cyanobacterial Extracts to Identify Potential Substitutes for Fetal Bovine Serum in Cellular Meat Cultivation	Screening FBS substitutes for cell media	deepseek-chat	20260715T011514
yes	no	2025	10.3168/jds.2024-25449	Milk whey as a sustainable alternative growth supplement to fetal bovine serum in muscle cell culture	milk whey as FBS replacement	deepseek-chat	20260715T011514
yes	no	2024	10.1111/1750-3841.17347	Study on the feasibility of using livestock blood as a fetal bovine serum substitute for cultured meat	FBS substitute from livestock blood	deepseek-chat	20260715T011514
yes	no	2024	10.1016/j.foodres.2024.115073	An efficient serum-free medium for ex vivo expansion of myoblasts from Larimichthys crocea for cultured meat production	Serum-free medium for myoblast expansion	deepseek-chat	20260715T011514
yes	no	2024	10.1016/j.bbrc.2024.150850	A diarylheptanoid derivative mediates glycogen synthase kinase 3β to promote the porcine muscle satellite cell proliferation: Implications for cultured meat production	GSK3β inhibitor for satellite cell proliferation	deepseek-chat	20260715T011514
yes	no	2024	10.3390/ijms25115824	Development of a Normal Porcine Cell Line Growing in a Heme-Supplemented, Serum-Free Condition for Cultured Meat	Serum-free heme medium for porcine cells	deepseek-chat	20260715T011514
yes	no	2023	10.1007/s10616-023-00581-3	Development of a cell line from skeletal trunk muscle of the fish Labeo rohita	Fish muscle cell line with FBS and bFGF	deepseek-chat	20260715T011514
yes	no	2024	10.1016/j.foodres.2024.114138	Metabolomic changes in culture media with varying passage numbers of pig muscle stem cell culture for cultured meat production	Metabolomics of pig muscle stem cell media	deepseek-chat	20260715T011514
yes	no	2021	10.1002/biot.202100228	Optimization of muscle cell culture media using nonlinear design of experiments	Optimizes muscle cell culture media	deepseek-chat	20260715T011514
yes	no	2025	10.1016/j.bbrc.2025.151456	Notch signaling modulation enhances porcine muscle stem cell proliferation and differentiation	Notch signaling enhances porcine muscle stem cell proliferat	deepseek-chat	20260715T011514
yes	no	2025	10.3390/ijms26010345	The Effects of Laxogenin and 5-Alpha-hydroxy-laxogenin on Myotube Formation and Maturation During Cultured Meat Production	Laxogenin effects on myotube formation in cultured meat	deepseek-chat	20260715T011514
yes	no	2024	10.1007/978-1-0716-3609-1_15	Bovine Skeletal Muscle Satellite Cells: Isolation, Growth, and Differentiation	Satellite cell isolation, growth, differentiation medium	deepseek-chat	20260715T011514
yes	no	2025	10.1021/acs.jafc.4c09215	Recombinant Porcine FGF1 Promotes Muscle Stem Cell Proliferation and Mitochondrial Function for Cultured Meat Production	Recombinant FGF1 for MuSC proliferation	deepseek-chat	20260715T011514
yes	no	2025	10.3389/fnut.2025.1679490	Yeast-derived low-purity FGF2 supports bovine ESC and MSC aggregates in suspension	yeast-derived FGF2 for media cost	deepseek-chat	20260715T011514
yes	no	2026	10.1016/j.pep.2026.106894	Hyper-expression of functional human basic fibroblast growth factor 2 in Escherichia coli	hbFGF2 expression for media cost	deepseek-chat	20260715T011514
yes	no	2025	10.3389/fnut.2025.1602010	Low concentration press cake protein isolates preserve biological activity during lyophilization and spray drying	Serum albumin replacement for media	deepseek-chat	20260715T011514
yes	no	2024	10.3389/fbioe.2024.1443914	Attachment promoting compounds significantly enhance cell proliferation and purity of bovine satellite cells grown on microcarriers in the absence of serum	Serum-free microcarrier with attachment compounds	deepseek-chat	20260715T011514
yes	no	2025	10.1186/s40643-025-00938-w	Dairy byproducts as sustainable alternatives to FCS in 2D and 3D skeletal muscle cell cultures	Dairy byproducts replace FCS	deepseek-chat	20260715T011514
yes	no	2022	10.3390/ijms23031180	Amino Acids and IGF1 Regulation of Fish Muscle Growth Revealed by Transcriptome and microRNAome Integrative Analyses of Pacu (Piaractus mesopotamicus) Myotubes	AA and IGF1 for fish myotubes	deepseek-chat	20260715T011514
yes	no	1976		New media and their advantages in the production of suspended cells and foot--and--mouth disease virus	Serum-free media with peptones for BHK cells	deepseek-chat	20260715T011514
yes	no	2022	10.1016/j.isci.2022.105054	Recombinant production of growth factors for application in cell culture	Recombinant growth factors for cell culture	deepseek-chat	20260715T011514
yes	no	2023	10.1016/j.biomaterials.2023.122092	A Beefy-R culture medium: Replacing albumin with rapeseed protein isolates	Replaces albumin with rapeseed protein isolate	deepseek-chat	20260715T011514
yes	no	2026	10.1080/07388551.2026.2618192	Advances in primary cell isolation, sorting, and preservation from livestock for cultured meat applications	Reviews cell isolation and expansion for cultured meat	deepseek-chat	20260715T011514
yes	no	2025	10.3389/fceng.2025.1637075	Cell manufacturing for cell-based tissue engineering: a focus on vascularized, skeletal muscle regeneration	Cell expansion with defined cues	deepseek-chat	20260715T011514
yes	no	2026	10.1016/j.jbiosc.2026.02.004	Fetal bovine serum concentration-dependent differentiation of multi-layered myoblasts	Serum concentration for differentiation	deepseek-chat	20260715T011514
yes	no	2009	10.1007/s11626-009-9192-7	Developing a novel serum-free cell culture model of skeletal muscle differentiation by systematically studying the role of different growth factors in myotube formation	Serum-free medium for skeletal muscle differentiation	deepseek-chat	20260715T011514
yes	no	2026	10.1016/j.foodres.2026.118616	Machine learning framework for passage-based quality control of Hanwoo muscle satellite cells for cultured meat	Proliferation quality control of muscle satellite cells	deepseek-chat	20260715T011514
yes	no	2025	10.1007/s11626-024-00971-7	Establishment, characterization, and sensory characteristics (taste and flavor) of an immortalized muscle cell line from the seven-band grouper Epinephelus septemfasciatus: implications for cultured s	Optimized serum/bFGF for grouper muscle cells	deepseek-chat	20260715T011514
yes	no	2026	10.3390/foods15071203	Development of a Cost-Effective and Food-Grade Medium for Rice Cellular Agriculture	Food-grade medium for plant cells	deepseek-chat	20260715T011514
yes	no	2023	10.3390/ani13111887	Potential Application of Muscle Precursor Cells from Male Specific-Pathogen-Free (SPF) Chicken Embryos in In Vitro Agriculture	MPCs isolation for cultured meat medium	deepseek-chat	20260715T011514
yes	no	2026	10.1007/s44463-025-00003-2	Review of culture media and serum substitutes containing phytoecdysteroids for application in cultured meat technology	phytoecdysteroids as serum substitute	deepseek-chat	20260715T011514
yes	no	2024	10.5851/kosfa.2024.e72	Effect of Chicken Age on Proliferation and Differentiation Abilities of Muscle Stem Cells and Nutritional Characteristics of Cultured Meat Tissue	Chicken satellite cell proliferation medium	deepseek-chat	20260715T011514
