benchmark_version	record_id	paper_id	title	year	doi	url	block	field	field_description	value_type	source_path	source_sha256	reviewer_1_decision	reviewer_1_value_json	reviewer_1_quote	reviewer_1_location	reviewer_1_reviewer	reviewer_1_date	reviewer_2_decision	reviewer_2_value_json	reviewer_2_quote	reviewer_2_location	reviewer_2_reviewer	reviewer_2_date	adjudicated_decision	adjudicated_value_json	adjudicated_quote	adjudicated_location	adjudicated_reviewer	adjudicated_date	notes
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	B	target_product_type	Product direction the work mainly supports.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	B	is_core_for_review	Central enough to cite/discuss in the main review argument?	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	B	is_core_for_modeling	Likely to yield structured variables / quantitative relations?	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	B	overall_priority_note	Dense triage note: why it matters and what to do next.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	C	problem_statement	Practical/scientific problem framed by the paper (1-3 dense sentences).	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	C	technical_bottleneck_targeted	Specific bottlenecks explicitly targeted (low proliferation, high media cost, oxygen limitation...).	typing.List[str] | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	C	proposed_solution	Core solution route the authors built/compared/optimized.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	C	claimed_novelty	What the authors say is new (keep author claims even if incremental).	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	D	cell_source	Immediate source: biopsy, slaughterhouse tissue, commercial line, iPSC...	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	D	cell_type	Cell identity: satellite cells, myoblasts, FAPs, adipocytes, iPSC...	typing.List[str] | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	D	primary_or_cell_line	Primary, established line, mixture, or unclear.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	D	immortalization_status	Absent / present / conditional / unclear.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	D	tissue_of_origin	Anatomical source: skeletal muscle, subcutaneous adipose, fin...	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	D	species_detail	Granular taxonomic / breed / source detail if relevant.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	D	culture_stage	Explicit experimental stage(s): isolation, expansion/proliferation, differentiation, or maturation; require source evidence.	typing.List[str] | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	D	passage_info	Passage number, doubling history, senescence note, expansion window.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	D	cell_isolation_method	Isolation/enrichment: enzymatic digestion, pre-plating, FACS, MACS, explant.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	D	expansion_conditions_summary	Dense description of proliferation-stage culture (medium, substrate, serum, O2, timing).	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	D	differentiation_conditions_summary	Dense description of myogenic/adipogenic/maturation conditions and triggers.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	E	basal_medium	Base platform(s): DMEM, DMEM/F12, Ham's F-10, custom defined base.	typing.List[str] | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	E	medium_type	Explicit formulation role/type, e.g. expansion medium, differentiation medium, conditioned medium, or spent medium.	typing.List[str] | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	E	serum_usage	Serum used at any stage? If stage-specific, say where and at what level.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	E	serum_free_status	Strongest label the data justify; do not overclaim 'chemically defined'.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	E	growth_factors	Named protein supplements: FGF2, IGF-1, insulin, transferrin, TGF-beta inhibitors...	typing.List[str] | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	E	small_molecules	Non-protein signaling/differentiation additives.	typing.List[str] | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	E	hydrolysates_or_extracts	Yeast extract, plant/algal hydrolysates, peptones...	typing.List[str] | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	E	conditioned_medium_or_recycling	Conditioned-medium reuse, spent-medium recycling, circular-medium strategy.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	E	medium_optimization_strategy	How the paper optimizes medium: screening, DoE, replacement, cost trimming...	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	E	cost_reduction_relevance	Why this medium work matters (or not) for practical cost reduction.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	F	scaffold_used	Whether an explicit scaffold/carrier system is used and in what sense.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	F	material_type	Materials: alginate, gelatin, collagen, cellulose, chitosan, dECM, soy protein...	typing.List[str] | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	F	material_origin	Broad origin class; use 'hybrid' when combined.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	F	edibility_status	Intended to remain in food, or clearly research-only.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	F	fabrication_method	Casting, freeze-drying, electrospinning, 3D printing, extrusion, crosslinking, decellularization...	typing.List[str] | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	F	structure_features	Porous, aligned, anisotropic, fibrous, layered, perfusable, microchanneled...	typing.List[str] | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	F	mechanical_or_microstructure_features	Mechanical props, pore size, fiber diameter, swelling, rheology...	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	F	microcarrier_usage	Microcarrier type, material, detachability, edibility, stage of use.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	F	scaffold_role	Expansion support, alignment cue, texture building, mass-transfer aid, edible final matrix...	typing.List[str] | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	G	culture_format	Dominant process format for the key result.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	G	bioreactor_type	Spinner flask, stirred tank, rocking bag, hollow fiber, perfusion chamber, or none.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	G	process_mode	How media/culture flow are operated.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	G	scale_level	Well plate, flask, mL bioreactor, liter scale, pilot concept...	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
