benchmark_version	candidate_id	record_id	paper_id	title	doi	pdf_path	pdf_sha256	pdf_page	block_index	bbox_points	block_text_sha256	signals	linked_fields	decision	source_kind	treatment_label	control_label	outcome	timepoint	effect_pointer	treatment_mean_pointer	control_mean_pointer	treatment_dispersion_pointer	control_dispersion_pointer	dispersion_type	treatment_n_pointer	control_n_pointer	sample_size_status	replicate_type	same_comparison	reviewer	date	notes
quantitative-pilot-v1	Q011	R018	a-serum-free-media-formulation-for-cultured-meat-production-supports-bovine-sate	A serum-free media formulation for cultured meat production supports bovine satellite cell differentiation in the absence of serum starvation	10.1038/s43016-021-00419-1	data/papers/a-serum-free-media-formulation-for-cultured-meat-production-supports-bovine-sate/a-serum-free-media-formulation-for-cultured-meat-production-supports-bovine-sate.pdf	3985c2d8263a95f57ab46afa826bdf9714eac5f155c0627d5841f73851ca76a7	19	1	42.520,506.698,541.361,581.458	d50f06e96022b3118fde61f1bc14ab486730bc76a422f18847c7859b2821f9e2	sample_size;sd;outcome;medium;figure_caption;mean;error_policy	J.key_numeric_results;J.experimental_comparison_groups;J.sample_size_or_replicate_info																				
quantitative-pilot-v1	Q012	R018	a-serum-free-media-formulation-for-cultured-meat-production-supports-bovine-sate	A serum-free media formulation for cultured meat production supports bovine satellite cell differentiation in the absence of serum starvation	10.1038/s43016-021-00419-1	data/papers/a-serum-free-media-formulation-for-cultured-meat-production-supports-bovine-sate/a-serum-free-media-formulation-for-cultured-meat-production-supports-bovine-sate.pdf	3985c2d8263a95f57ab46afa826bdf9714eac5f155c0627d5841f73851ca76a7	21	1	42.520,50.113,552.130,114.377	ecb5b373c6ff9246f6d27b47f0fa630349fbad5563c58073688f17a9c85cc5f0	sample_size;sd;outcome;medium;figure_caption;mean;error_policy	J.key_numeric_results;J.experimental_comparison_groups;J.sample_size_or_replicate_info																				
quantitative-pilot-v1	Q013	R045	microbial-lysates-as-low-cost-serum-replacements-in-cellular-agriculture-media-f	Microbial lysates as low-cost serum replacements in cellular agriculture media formulation	10.1016/j.foodres.2024.115633	data/papers/microbial-lysates-as-low-cost-serum-replacements-in-cellular-agriculture-media-f/microbial-lysates-as-low-cost-serum-replacements-in-cellular-agriculture-media-f.pdf	97830f99935a05b093ab1e3d8336d194604435bc0bd426560d72e52c43a80f36	14	3	79.740,530.732,530.643,712.534	e7d709fb9f6753df2738853494b56cf0d91cf35557ad0b9226a9089fce31cf27	sample_size;sd;outcome;medium;figure_caption;mean	J.key_numeric_results;J.experimental_comparison_groups;J.sample_size_or_replicate_info																				
quantitative-pilot-v1	Q014	R045	microbial-lysates-as-low-cost-serum-replacements-in-cellular-agriculture-media-f	Microbial lysates as low-cost serum replacements in cellular agriculture media formulation	10.1016/j.foodres.2024.115633	data/papers/microbial-lysates-as-low-cost-serum-replacements-in-cellular-agriculture-media-f/microbial-lysates-as-low-cost-serum-replacements-in-cellular-agriculture-media-f.pdf	97830f99935a05b093ab1e3d8336d194604435bc0bd426560d72e52c43a80f36	15	2	35.640,71.192,546.577,702.719	e8e30e4c145edb0f634d4715ed9b2fb365003abc9ea6e0b76a7bc20fb02f6f2e	explicit_dispersion;outcome;medium;mean	J.key_numeric_results;J.experimental_comparison_groups;J.sample_size_or_replicate_info																				
quantitative-pilot-v1	Q015	R045	microbial-lysates-as-low-cost-serum-replacements-in-cellular-agriculture-media-f	Microbial lysates as low-cost serum replacements in cellular agriculture media formulation	10.1016/j.foodres.2024.115633	data/papers/microbial-lysates-as-low-cost-serum-replacements-in-cellular-agriculture-media-f/microbial-lysates-as-low-cost-serum-replacements-in-cellular-agriculture-media-f.pdf	97830f99935a05b093ab1e3d8336d194604435bc0bd426560d72e52c43a80f36	16	2	79.919,495.096,532.370,699.396	0b7064d01a2acee52cd591e3f2f5e7974062973f140824b856c433f4d2abfdaa	sd;outcome;medium;figure_caption;mean	J.key_numeric_results;J.experimental_comparison_groups;J.sample_size_or_replicate_info																				
quantitative-pilot-v1	Q016	R045	microbial-lysates-as-low-cost-serum-replacements-in-cellular-agriculture-media-f	Microbial lysates as low-cost serum replacements in cellular agriculture media formulation	10.1016/j.foodres.2024.115633	data/papers/microbial-lysates-as-low-cost-serum-replacements-in-cellular-agriculture-media-f/microbial-lysates-as-low-cost-serum-replacements-in-cellular-agriculture-media-f.pdf	97830f99935a05b093ab1e3d8336d194604435bc0bd426560d72e52c43a80f36	17	3	78.300,575.854,519.602,713.256	02cae86533bfc1ee60ab5500b9bff1580227516b0c05014d7197b259196e1f95	sd;outcome;medium;figure_caption;mean	J.key_numeric_results;J.experimental_comparison_groups;J.sample_size_or_replicate_info																				
quantitative-pilot-v1	Q017	R047	satellite-cells-sourced-from-bull-calves-and-dairy-cows-differs-in-proliferative	Satellite cells sourced from bull calves and dairy cows differs in proliferative and myogenic capacity - Implications for cultivated meat	10.1016/j.foodres.2023.113217	data/papers/satellite-cells-sourced-from-bull-calves-and-dairy-cows-differs-in-proliferative/satellite-cells-sourced-from-bull-calves-and-dairy-cows-differs-in-proliferative.pdf	bb96285cf82254d0497028a221062e95a921d7e1181e608c38e2d29a18f8e839	4	2	37.587,370.016,559.779,467.804	86221cd40e6f5334aae2b64a6146321313510c75f48a28b8458d0bbd6fd08a1b	sample_size;sd;outcome;medium;figure_caption;mean	J.key_numeric_results;J.experimental_comparison_groups;J.sample_size_or_replicate_info																				
quantitative-pilot-v1	Q018	R047	satellite-cells-sourced-from-bull-calves-and-dairy-cows-differs-in-proliferative	Satellite cells sourced from bull calves and dairy cows differs in proliferative and myogenic capacity - Implications for cultivated meat	10.1016/j.foodres.2023.113217	data/papers/satellite-cells-sourced-from-bull-calves-and-dairy-cows-differs-in-proliferative/satellite-cells-sourced-from-bull-calves-and-dairy-cows-differs-in-proliferative.pdf	bb96285cf82254d0497028a221062e95a921d7e1181e608c38e2d29a18f8e839	5	2	37.587,459.024,559.777,556.811	9cd7db7d38cd2580cf3b93c64e336911b786a2acd5f57bf62e76011af3dc5c65	sample_size;sd;sem;outcome;medium;figure_caption;mean	J.key_numeric_results;J.experimental_comparison_groups;J.sample_size_or_replicate_info																				
quantitative-pilot-v1	Q019	R047	satellite-cells-sourced-from-bull-calves-and-dairy-cows-differs-in-proliferative	Satellite cells sourced from bull calves and dairy cows differs in proliferative and myogenic capacity - Implications for cultivated meat	10.1016/j.foodres.2023.113217	data/papers/satellite-cells-sourced-from-bull-calves-and-dairy-cows-differs-in-proliferative/satellite-cells-sourced-from-bull-calves-and-dairy-cows-differs-in-proliferative.pdf	bb96285cf82254d0497028a221062e95a921d7e1181e608c38e2d29a18f8e839	6	2	37.587,614.250,559.776,692.931	065c421ead3c4428ad7c9765b96155721edc1ea37268f1f9282c04a5c3484579	sample_size;sd;outcome;medium;figure_caption;mean	J.key_numeric_results;J.experimental_comparison_groups;J.sample_size_or_replicate_info																				
quantitative-pilot-v1	Q020	R047	satellite-cells-sourced-from-bull-calves-and-dairy-cows-differs-in-proliferative	Satellite cells sourced from bull calves and dairy cows differs in proliferative and myogenic capacity - Implications for cultivated meat	10.1016/j.foodres.2023.113217	data/papers/satellite-cells-sourced-from-bull-calves-and-dairy-cows-differs-in-proliferative/satellite-cells-sourced-from-bull-calves-and-dairy-cows-differs-in-proliferative.pdf	bb96285cf82254d0497028a221062e95a921d7e1181e608c38e2d29a18f8e839	8	2	37.587,541.796,559.776,610.953	551e4b4ed9508219fc3100fee7aba70d681d388d352188e5feef1f8da58916b6	sample_size;sd;medium;figure_caption;mean	J.key_numeric_results;J.experimental_comparison_groups;J.sample_size_or_replicate_info																				
