benchmark_version	record_id	paper_id	title	year	doi	url	block	field	field_description	value_type	source_path	source_sha256	decision	value_json	quote	location	reviewer	date	notes
medium-pilot-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	E	serum_usage	Serum used at any stage? If stage-specific, say where and at what level.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad							
medium-pilot-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	E	serum_free_status	Strongest label the data justify; do not overclaim 'chemically defined'.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad							
medium-pilot-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	E	growth_factors	Named protein supplements: FGF2, IGF-1, insulin, transferrin, TGF-beta inhibitors...	typing.List[str] | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad							
medium-pilot-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	E	small_molecules	Non-protein signaling/differentiation additives.	typing.List[str] | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad							
medium-pilot-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	E	hydrolysates_or_extracts	Yeast extract, plant/algal hydrolysates, peptones...	typing.List[str] | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad							
medium-pilot-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	E	conditioned_medium_or_recycling	Conditioned-medium reuse, spent-medium recycling, circular-medium strategy.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad							
medium-pilot-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	I	main_readouts	Top-level measurements the paper revolves around.	typing.List[str] | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad							
medium-pilot-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	I	proliferation_metrics	Cell count, DNA, metabolic assay, doubling time, EdU/Ki67, VCD...	typing.List[str] | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad							
medium-pilot-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	I	differentiation_metrics	Fusion index, adipogenic staining, marker genes, differentiation rate...	typing.List[str] | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad							
medium-pilot-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	J	has_extractable_quant_data	Numbers that can realistically be tabulated for modeling?	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad							
medium-pilot-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	J	extractable_variables	growth rate, stiffness, pore size, serum %, GF concentration, lipid content...	typing.List[str] | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad							
medium-pilot-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	J	key_numeric_results	Most important numeric findings, with comparison context. Preserve original units.	typing.List[str] | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad							
medium-pilot-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	J	units_reported	Units exactly as reported in the paper.	typing.List[str] | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad							
medium-pilot-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	J	experimental_comparison_groups	Control vs treatment logic, benchmark groups, dose/time groups.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad							
medium-pilot-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	J	sample_size_or_replicate_info	n, biological vs technical replicates, independent experiments, or 'vague'.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad							
medium-pilot-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	K	core_findings	Dense, evidence-based takeaway.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad							
medium-pilot-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	K	authors_reported_limitations	Limitations explicitly acknowledged by the authors.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad							
medium-pilot-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	K	hidden_or_practical_limitations	Practical weaknesses you infer from design/data/scale/materials/missing controls.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad							
medium-pilot-v1	R016	development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov	Development of a Chemically Defined Medium for in vitro Expansion of Primary Bovine Satellite Cells	2022	10.3389/fbioe.2022.895289	https://www.frontiersin.org/journals/bioengineering-and-biotechnology/articles/10.3389/fbioe.2022.895289/full	A	title	Official paper title exactly as published.	str | None	data/papers/development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov/fulltext.txt	25fabce9211fbb531fbcc7051ccc945bc92347b70c078c8934d7f71a6ef8a17a							
medium-pilot-v1	R016	development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov	Development of a Chemically Defined Medium for in vitro Expansion of Primary Bovine Satellite Cells	2022	10.3389/fbioe.2022.895289	https://www.frontiersin.org/journals/bioengineering-and-biotechnology/articles/10.3389/fbioe.2022.895289/full	A	year	Publication year.	int | None	data/papers/development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov/fulltext.txt	25fabce9211fbb531fbcc7051ccc945bc92347b70c078c8934d7f71a6ef8a17a							
medium-pilot-v1	R016	development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov	Development of a Chemically Defined Medium for in vitro Expansion of Primary Bovine Satellite Cells	2022	10.3389/fbioe.2022.895289	https://www.frontiersin.org/journals/bioengineering-and-biotechnology/articles/10.3389/fbioe.2022.895289/full	A	doi	DOI in standard form; use NR rather than inventing one.	str | None	data/papers/development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov/fulltext.txt	25fabce9211fbb531fbcc7051ccc945bc92347b70c078c8934d7f71a6ef8a17a							
medium-pilot-v1	R016	development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov	Development of a Chemically Defined Medium for in vitro Expansion of Primary Bovine Satellite Cells	2022	10.3389/fbioe.2022.895289	https://www.frontiersin.org/journals/bioengineering-and-biotechnology/articles/10.3389/fbioe.2022.895289/full	B	species	Species discussed/tested (bovine, porcine, chicken, fish...).	typing.List[str] | None	data/papers/development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov/fulltext.txt	25fabce9211fbb531fbcc7051ccc945bc92347b70c078c8934d7f71a6ef8a17a							
medium-pilot-v1	R016	development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov	Development of a Chemically Defined Medium for in vitro Expansion of Primary Bovine Satellite Cells	2022	10.3389/fbioe.2022.895289	https://www.frontiersin.org/journals/bioengineering-and-biotechnology/articles/10.3389/fbioe.2022.895289/full	D	cell_type	Cell identity: satellite cells, myoblasts, FAPs, adipocytes, iPSC...	typing.List[str] | None	data/papers/development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov/fulltext.txt	25fabce9211fbb531fbcc7051ccc945bc92347b70c078c8934d7f71a6ef8a17a							
medium-pilot-v1	R016	development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov	Development of a Chemically Defined Medium for in vitro Expansion of Primary Bovine Satellite Cells	2022	10.3389/fbioe.2022.895289	https://www.frontiersin.org/journals/bioengineering-and-biotechnology/articles/10.3389/fbioe.2022.895289/full	D	primary_or_cell_line	Primary, established line, mixture, or unclear.	str | None	data/papers/development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov/fulltext.txt	25fabce9211fbb531fbcc7051ccc945bc92347b70c078c8934d7f71a6ef8a17a							
medium-pilot-v1	R016	development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov	Development of a Chemically Defined Medium for in vitro Expansion of Primary Bovine Satellite Cells	2022	10.3389/fbioe.2022.895289	https://www.frontiersin.org/journals/bioengineering-and-biotechnology/articles/10.3389/fbioe.2022.895289/full	D	culture_stage	Explicit experimental stage(s): isolation, expansion/proliferation, differentiation, or maturation; require source evidence.	typing.List[str] | None	data/papers/development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov/fulltext.txt	25fabce9211fbb531fbcc7051ccc945bc92347b70c078c8934d7f71a6ef8a17a							
medium-pilot-v1	R016	development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov	Development of a Chemically Defined Medium for in vitro Expansion of Primary Bovine Satellite Cells	2022	10.3389/fbioe.2022.895289	https://www.frontiersin.org/journals/bioengineering-and-biotechnology/articles/10.3389/fbioe.2022.895289/full	D	passage_info	Passage number, doubling history, senescence note, expansion window.	str | None	data/papers/development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov/fulltext.txt	25fabce9211fbb531fbcc7051ccc945bc92347b70c078c8934d7f71a6ef8a17a							
medium-pilot-v1	R016	development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov	Development of a Chemically Defined Medium for in vitro Expansion of Primary Bovine Satellite Cells	2022	10.3389/fbioe.2022.895289	https://www.frontiersin.org/journals/bioengineering-and-biotechnology/articles/10.3389/fbioe.2022.895289/full	E	basal_medium	Base platform(s): DMEM, DMEM/F12, Ham's F-10, custom defined base.	typing.List[str] | None	data/papers/development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov/fulltext.txt	25fabce9211fbb531fbcc7051ccc945bc92347b70c078c8934d7f71a6ef8a17a							
medium-pilot-v1	R016	development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov	Development of a Chemically Defined Medium for in vitro Expansion of Primary Bovine Satellite Cells	2022	10.3389/fbioe.2022.895289	https://www.frontiersin.org/journals/bioengineering-and-biotechnology/articles/10.3389/fbioe.2022.895289/full	E	medium_type	Explicit formulation role/type, e.g. expansion medium, differentiation medium, conditioned medium, or spent medium.	typing.List[str] | None	data/papers/development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov/fulltext.txt	25fabce9211fbb531fbcc7051ccc945bc92347b70c078c8934d7f71a6ef8a17a							
medium-pilot-v1	R016	development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov	Development of a Chemically Defined Medium for in vitro Expansion of Primary Bovine Satellite Cells	2022	10.3389/fbioe.2022.895289	https://www.frontiersin.org/journals/bioengineering-and-biotechnology/articles/10.3389/fbioe.2022.895289/full	E	serum_usage	Serum used at any stage? If stage-specific, say where and at what level.	str | None	data/papers/development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov/fulltext.txt	25fabce9211fbb531fbcc7051ccc945bc92347b70c078c8934d7f71a6ef8a17a							
medium-pilot-v1	R016	development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov	Development of a Chemically Defined Medium for in vitro Expansion of Primary Bovine Satellite Cells	2022	10.3389/fbioe.2022.895289	https://www.frontiersin.org/journals/bioengineering-and-biotechnology/articles/10.3389/fbioe.2022.895289/full	E	serum_free_status	Strongest label the data justify; do not overclaim 'chemically defined'.	str | None	data/papers/development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov/fulltext.txt	25fabce9211fbb531fbcc7051ccc945bc92347b70c078c8934d7f71a6ef8a17a							
medium-pilot-v1	R016	development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov	Development of a Chemically Defined Medium for in vitro Expansion of Primary Bovine Satellite Cells	2022	10.3389/fbioe.2022.895289	https://www.frontiersin.org/journals/bioengineering-and-biotechnology/articles/10.3389/fbioe.2022.895289/full	E	growth_factors	Named protein supplements: FGF2, IGF-1, insulin, transferrin, TGF-beta inhibitors...	typing.List[str] | None	data/papers/development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov/fulltext.txt	25fabce9211fbb531fbcc7051ccc945bc92347b70c078c8934d7f71a6ef8a17a							
medium-pilot-v1	R016	development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov	Development of a Chemically Defined Medium for in vitro Expansion of Primary Bovine Satellite Cells	2022	10.3389/fbioe.2022.895289	https://www.frontiersin.org/journals/bioengineering-and-biotechnology/articles/10.3389/fbioe.2022.895289/full	E	small_molecules	Non-protein signaling/differentiation additives.	typing.List[str] | None	data/papers/development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov/fulltext.txt	25fabce9211fbb531fbcc7051ccc945bc92347b70c078c8934d7f71a6ef8a17a							
medium-pilot-v1	R016	development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov	Development of a Chemically Defined Medium for in vitro Expansion of Primary Bovine Satellite Cells	2022	10.3389/fbioe.2022.895289	https://www.frontiersin.org/journals/bioengineering-and-biotechnology/articles/10.3389/fbioe.2022.895289/full	E	hydrolysates_or_extracts	Yeast extract, plant/algal hydrolysates, peptones...	typing.List[str] | None	data/papers/development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov/fulltext.txt	25fabce9211fbb531fbcc7051ccc945bc92347b70c078c8934d7f71a6ef8a17a							
medium-pilot-v1	R016	development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov	Development of a Chemically Defined Medium for in vitro Expansion of Primary Bovine Satellite Cells	2022	10.3389/fbioe.2022.895289	https://www.frontiersin.org/journals/bioengineering-and-biotechnology/articles/10.3389/fbioe.2022.895289/full	E	conditioned_medium_or_recycling	Conditioned-medium reuse, spent-medium recycling, circular-medium strategy.	str | None	data/papers/development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov/fulltext.txt	25fabce9211fbb531fbcc7051ccc945bc92347b70c078c8934d7f71a6ef8a17a							
medium-pilot-v1	R016	development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov	Development of a Chemically Defined Medium for in vitro Expansion of Primary Bovine Satellite Cells	2022	10.3389/fbioe.2022.895289	https://www.frontiersin.org/journals/bioengineering-and-biotechnology/articles/10.3389/fbioe.2022.895289/full	I	main_readouts	Top-level measurements the paper revolves around.	typing.List[str] | None	data/papers/development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov/fulltext.txt	25fabce9211fbb531fbcc7051ccc945bc92347b70c078c8934d7f71a6ef8a17a							
medium-pilot-v1	R016	development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov	Development of a Chemically Defined Medium for in vitro Expansion of Primary Bovine Satellite Cells	2022	10.3389/fbioe.2022.895289	https://www.frontiersin.org/journals/bioengineering-and-biotechnology/articles/10.3389/fbioe.2022.895289/full	I	proliferation_metrics	Cell count, DNA, metabolic assay, doubling time, EdU/Ki67, VCD...	typing.List[str] | None	data/papers/development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov/fulltext.txt	25fabce9211fbb531fbcc7051ccc945bc92347b70c078c8934d7f71a6ef8a17a							
medium-pilot-v1	R016	development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov	Development of a Chemically Defined Medium for in vitro Expansion of Primary Bovine Satellite Cells	2022	10.3389/fbioe.2022.895289	https://www.frontiersin.org/journals/bioengineering-and-biotechnology/articles/10.3389/fbioe.2022.895289/full	I	differentiation_metrics	Fusion index, adipogenic staining, marker genes, differentiation rate...	typing.List[str] | None	data/papers/development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov/fulltext.txt	25fabce9211fbb531fbcc7051ccc945bc92347b70c078c8934d7f71a6ef8a17a							
medium-pilot-v1	R016	development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov	Development of a Chemically Defined Medium for in vitro Expansion of Primary Bovine Satellite Cells	2022	10.3389/fbioe.2022.895289	https://www.frontiersin.org/journals/bioengineering-and-biotechnology/articles/10.3389/fbioe.2022.895289/full	J	has_extractable_quant_data	Numbers that can realistically be tabulated for modeling?	str | None	data/papers/development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov/fulltext.txt	25fabce9211fbb531fbcc7051ccc945bc92347b70c078c8934d7f71a6ef8a17a							
medium-pilot-v1	R016	development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov	Development of a Chemically Defined Medium for in vitro Expansion of Primary Bovine Satellite Cells	2022	10.3389/fbioe.2022.895289	https://www.frontiersin.org/journals/bioengineering-and-biotechnology/articles/10.3389/fbioe.2022.895289/full	J	extractable_variables	growth rate, stiffness, pore size, serum %, GF concentration, lipid content...	typing.List[str] | None	data/papers/development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov/fulltext.txt	25fabce9211fbb531fbcc7051ccc945bc92347b70c078c8934d7f71a6ef8a17a							
medium-pilot-v1	R016	development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov	Development of a Chemically Defined Medium for in vitro Expansion of Primary Bovine Satellite Cells	2022	10.3389/fbioe.2022.895289	https://www.frontiersin.org/journals/bioengineering-and-biotechnology/articles/10.3389/fbioe.2022.895289/full	J	key_numeric_results	Most important numeric findings, with comparison context. Preserve original units.	typing.List[str] | None	data/papers/development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov/fulltext.txt	25fabce9211fbb531fbcc7051ccc945bc92347b70c078c8934d7f71a6ef8a17a							
